surveyTargetID,surveyID,surveyTargetType,surveyTargetValue,includeOrExclude,isSurveyTargetFullyReported
P33.1A_taxon,P33.1A,taxon,Insecta,include,True
P33.1B_taxon,P33.1B,taxon,Insecta,include,True
P33.2A_taxon,P33.2A,taxon,Insecta,include,True
P33.2B_taxon,P33.2B,taxon,Insecta,include,True
P233.1A_taxon,P233.1A,taxon,Insecta,include,True
P233.1B_taxon,P233.1B,taxon,Insecta,include,True
P34.1A_taxon,P34.1A,taxon,Insecta,include,True
P34.1B_taxon,P34.1B,taxon,Insecta,include,True
P233.2A_taxon,P233.2A,taxon,Insecta,include,True
P233.2B_taxon,P233.2B,taxon,Insecta,include,True
P34.2A_taxon,P34.2A,taxon,Insecta,include,True
P34.2B_taxon,P34.2B,taxon,Insecta,include,True
P250.1A_taxon,P250.1A,taxon,Insecta,include,True
P250.1B_taxon,P250.1B,taxon,Insecta,include,True
P35.1A_taxon,P35.1A,taxon,Insecta,include,True
P35.1B_taxon,P35.1B,taxon,Insecta,include,True
P250.2A_taxon,P250.2A,taxon,Insecta,include,True
P250.2B_taxon,P250.2B,taxon,Insecta,include,True
P35.2A_taxon,P35.2A,taxon,Insecta,include,True
P35.2B_taxon,P35.2B,taxon,Insecta,include,True
P36.1A_taxon,P36.1A,taxon,Insecta,include,True
P36.1B_taxon,P36.1B,taxon,Insecta,include,True
P36.2A_taxon,P36.2A,taxon,Insecta,include,True
P36.2B_taxon,P36.2B,taxon,Insecta,include,True
P213.1A_taxon,P213.1A,taxon,Insecta,include,True
P213.1B_taxon,P213.1B,taxon,Insecta,include,True
P37.1A_taxon,P37.1A,taxon,Insecta,include,True
P37.1B_taxon,P37.1B,taxon,Insecta,include,True
P213.2A_taxon,P213.2A,taxon,Insecta,include,True
P213.2B_taxon,P213.2B,taxon,Insecta,include,True
P37.2A_taxon,P37.2A,taxon,Insecta,include,True
P37.2B_taxon,P37.2B,taxon,Insecta,include,True
P204.1A_taxon,P204.1A,taxon,Insecta,include,True
P204.1B_taxon,P204.1B,taxon,Insecta,include,True
P38.1A_taxon,P38.1A,taxon,Insecta,include,True
P38.1B_taxon,P38.1B,taxon,Insecta,include,True
P204.2A_taxon,P204.2A,taxon,Insecta,include,True
P204.2B_taxon,P204.2B,taxon,Insecta,include,True
P38.2A_taxon,P38.2A,taxon,Insecta,include,True
P38.2B_taxon,P38.2B,taxon,Insecta,include,True
P309.1A_taxon,P309.1A,taxon,Insecta,include,True
